行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分
快递,3.3362885751738887,6.0509879884261055,7.810499999999999,11.397481075733795,9.841140949633553,6.987300888493153,1.0,2,2960085869.0,4,0.6594850361694242,领涨,右上加速,90.4
电商服务,3.051346591093219,4.8324153275263315,4.729875,12.191754397209476,10.938164823805119,2.3616162460378787,1.0,1,1508886425.0,8,1.31903227110744,领涨,右上加速,89.7
非银金融,7.888394984951531,2.086639091363727,4.839755102040816,5.248876196697827,4.125542947063976,5.874041181509049,1.0,3,92439362980.0,49,0.6027716570915551,领涨,右下降温,87.9
医疗服务,5.295224224721802,4.286516374042772,3.939613636363636,6.398730712982736,2.327760020613301,5.948420231424434,0.9545454545454546,3,37229469108.0,44,1.3746619860131948,领涨,右下降温,87.4
其他生物制品,2.620786766336732,2.91960475195636,5.0718421052631575,9.031187584740863,2.5812843980589806,3.5951479555536237,0.9736842105263158,3,15922951559.0,38,2.9221339024115456,领涨,右上加速,85.8
电子,23.2079913232774,10.258483479605765,-0.6030457142857143,6.82652440427447,10.22860760178208,23.94317603422722,0.36,9,666000966534.0,175,1.9795114468604287,领涨,左下退潮,85.5
纺织鞋类制造,4.380864089271785,2.5886214699519248,2.992,2.9919999999999947,2.9919999999999947,2.9919999999999947,1.0,0,100721511.0,1,9.0,领涨,左上修复,83.7
饲料,0.9779451402560686,3.9822571040677546,5.769384615384615,7.882104072814422,6.009663245462504,0.3409731151659434,0.9230769230769231,3,2404527816.0,13,0.436928297356435,领涨,右上加速,83.3
美容护理,1.8119250468277597,3.0866643697466305,3.3546666666666667,8.997613661061465,5.507099877281552,0.4716186500989039,1.0,0,2223979547.0,15,1.294289966726614,领涨,右上加速,82.7
医美耗材,4.198494443416141,2.5278315880000437,2.4226666666666667,2.422666666666662,2.422666666666662,2.422666666666662,1.0,0,725205807.0,3,9.0,领涨,左上修复,82.5
视频媒体,4.166878696213875,2.517293005599288,2.324,2.3239999999999927,2.3239999999999927,2.3239999999999927,1.0,0,285698831.0,1,9.0,领涨,左上修复,82.1
橡胶助剂,52.45276905871824,27.777458755134376,7.1985,22.37684281350001,36.02797962934594,64.15882164678261,0.5,1,6083637915.0,2,0.7295653628503866,领涨,右上加速,82.0
其他专业工程,8.445938634959779,6.710612315340049,2.3881,4.183675877658555,6.496173058922894,4.36165235910011,0.75,4,11439238801.0,20,0.02162408012461703,领涨,左上修复,81.6
宠物食品,0.5811749371727015,2.594175120988074,3.00825,6.190954717960762,3.9047834586618757,-4.05165925867943,1.0,0,447006470.0,4,1.3132553575286052,领涨,右上加速,80.4
辅料,15.99855232374329,11.155414660107278,-0.9192500000000001,-1.2650136785669952,3.8042763860871354,16.08805208503479,0.75,0,1223762392.0,4,1.3863630465124732,领涨,左下退潮,79.8
厨卫电器,-1.0011658916949995,3.936258465050463,1.3303333333333334,8.168065158193706,4.62522738587523,-2.273614964737325,1.0,0,488657413.0,3,1.8129236985963653,修复,右上加速,79.6
动物保健Ⅲ,4.980253377028536,2.232147306586313,5.372076923076923,3.6041996421739997,2.1404504141166347,3.112362665826729,0.9230769230769231,2,1808644273.0,13,0.27555950790526484,领涨,左下退潮,79.6
有机硅,12.817725254742562,5.865270690202165,2.1384,4.453399999771035,6.475920738626573,6.803364393290479,0.7,0,7572466589.0,10,1.3513608629263754,领涨,左上修复,79.0
元件,17.6922340900117,2.1648437827609093,2.1435789473684213,0.48240190910406877,6.491374724492904,16.06196363071941,0.631578947368421,2,50516872896.0,19,0.6338658794837417,领涨,左下退潮,78.9
医药生物,1.0401346784273957,1.7385305010080845,5.163678571428571,7.556512816377214,0.8295989167254048,0.40527449549823125,0.96875,21,76955926032.0,224,1.3740834897695615,领涨,右上加速,78.9
家用电器,3.071442608090654,2.687669987830283,2.2723170731707314,7.32019740142249,3.1695105871397677,0.2569308010664795,0.7804878048780488,2,17712192326.0,41,0.5566533506896287,领涨,右上加速,78.7
