行业名称,类型,排名,股票名称,代码,数值,展示
IT服务Ⅱ,1日先锋,1,真视通,002771,9.992,真视通 +10.0%
IT服务Ⅱ,1日先锋,2,慧博云通,301316,9.487,慧博云通 +9.5%
IT服务Ⅱ,1日先锋,3,联迪信息,920790,6.455,联迪信息 +6.5%
IT服务Ⅱ,3日动能,1,真视通,002771,12.947882736156346,真视通 +12.9%
IT服务Ⅱ,3日动能,2,宝信软件,600845,9.741431148526768,宝信软件 +9.7%
IT服务Ⅱ,3日动能,3,启明信息,002232,9.587020648967549,启明信息 +9.6%
IT服务Ⅱ,5日趋势,1,紫光股份,000938,18.188914910226384,紫光股份 +18.2%
IT服务Ⅱ,5日趋势,2,宝信软件,600845,11.552567237163824,宝信软件 +11.6%
IT服务Ⅱ,5日趋势,3,能科科技,603859,11.490087401406957,能科科技 +11.5%
IT服务Ⅱ,核心中军,1,紫光股份,000938,7584138425.0,紫光股份 75.8亿
IT服务Ⅱ,核心中军,2,宏景科技,301396,3187619167.0,宏景科技 31.9亿
IT服务Ⅱ,核心中军,3,神州数码,000034,1905284225.0,神州数码 19.1亿
专业工程,1日先锋,1,东华科技,002140,1.752,东华科技 +1.8%
专业工程,1日先锋,2,三联虹普,300384,1.672,三联虹普 +1.7%
专业工程,1日先锋,3,中材国际,600970,1.669,中材国际 +1.7%
专业工程,3日动能,1,利柏特,605167,9.316770186335411,利柏特 +9.3%
专业工程,3日动能,2,中国化学,601117,2.7210884353741527,中国化学 +2.7%
专业工程,3日动能,3,中材国际,600970,2.524544179523147,中材国际 +2.5%
专业工程,5日趋势,1,利柏特,605167,14.583333333333348,利柏特 +14.6%
专业工程,5日趋势,2,中国化学,601117,0.3989361702127603,中国化学 +0.4%
专业工程,5日趋势,3,中材国际,600970,0.274348422496562,中材国际 +0.3%
专业工程,核心中军,1,中国化学,601117,697066199.0,中国化学 7.0亿
专业工程,核心中军,2,中工国际,002051,588934611.0,中工国际 5.9亿
专业工程,核心中军,3,镇海股份,603637,218364383.0,镇海股份 2.2亿
专业连锁Ⅲ,1日先锋,1,爱婴室,603214,2.918,爱婴室 +2.9%
专业连锁Ⅲ,1日先锋,2,博士眼镜,300622,2.356,博士眼镜 +2.4%
专业连锁Ⅲ,1日先锋,3,爱施德,002416,1.678,爱施德 +1.7%
专业连锁Ⅲ,3日动能,1,爱婴室,603214,7.7621800165152965,爱婴室 +7.8%
专业连锁Ⅲ,3日动能,2,爱施德,002416,1.450892857142838,爱施德 +1.5%
专业连锁Ⅲ,3日动能,3,吉峰科技,300022,0.0,吉峰科技 +0.0%
专业连锁Ⅲ,5日趋势,1,爱婴室,603214,7.230895645028768,爱婴室 +7.2%
专业连锁Ⅲ,5日趋势,2,天音控股,000829,3.835616438356171,天音控股 +3.8%
专业连锁Ⅲ,5日趋势,3,爱施德,002416,0.22050716648289725,爱施德 +0.2%
专业连锁Ⅲ,核心中军,1,爱施德,002416,165264541.0,爱施德 1.7亿
专业连锁Ⅲ,核心中军,2,天音控股,000829,146862885.0,天音控股 1.5亿
专业连锁Ⅲ,核心中军,3,吉峰科技,300022,136771057.0,吉峰科技 1.4亿
专用设备,1日先锋,1,优德精密,300549,13.839,优德精密 +13.8%
专用设备,1日先锋,2,伊之密,300415,10.781,伊之密 +10.8%
专用设备,1日先锋,3,江顺科技,001400,9.997,江顺科技 +10.0%
专用设备,3日动能,1,天永智能,603895,12.786192321239875,天永智能 +12.8%
专用设备,3日动能,2,科达制造,600499,12.10144927536232,科达制造 +12.1%
专用设备,3日动能,3,巨轮智能,002031,11.46953405017921,巨轮智能 +11.5%
专用设备,5日趋势,1,中坚科技,002779,16.22544833475661,中坚科技 +16.2%
专用设备,5日趋势,2,科达制造,600499,15.533980582524265,科达制造 +15.5%
专用设备,5日趋势,3,天奇股份,002009,15.191199580932423,天奇股份 +15.2%
专用设备,核心中军,1,英维克,002837,3140725060.0,英维克 31.4亿
专用设备,核心中军,2,正帆科技,688596,2812445684.0,正帆科技 28.1亿
专用设备,核心中军,3,芯碁微装,688630,2636292981.0,芯碁微装 26.4亿
个护用品,1日先锋,1,诺邦股份,603238,2.679,诺邦股份 +2.7%
个护用品,1日先锋,2,可靠股份,301009,2.019,可靠股份 +2.0%
个护用品,1日先锋,3,豪悦护理,605009,1.596,豪悦护理 +1.6%
个护用品,3日动能,1,豪悦护理,605009,9.223509223509229,豪悦护理 +9.2%
个护用品,3日动能,2,诺邦股份,603238,8.000000000000007,诺邦股份 +8.0%
个护用品,3日动能,3,中顺洁柔,002511,4.6616541353383445,中顺洁柔 +4.7%
