主线家族,子题材数,宽基主线数,个体活跃均分,Top3个体活跃均分,5日涨幅均值,涨停数,题材扩散率,成分上涨均值,家族强度,家族共振度,家族排名
农业养殖,9,1,68.6222222222222,79.36666666666666,-0.05292931419632366,0,22.22222222222222,44.76171976171977,73.5,32.4,1
大消费,58,5,59.755172413793105,77.86666666666666,-1.5540553375755481,12,31.03448275862069,40.672739937224605,73.2,35.4,2
交通物流,7,1,62.699999999999996,75.83333333333334,-0.414900682364356,1,42.857142857142854,35.58439367649894,71.3,39.6,3
医药医疗,13,2,60.96923076923077,82.7,-2.489607235201987,5,15.384615384615385,33.7146101292303,69.6,23.6,4
金融,7,2,58.25714285714287,70.33333333333333,-0.7476952362799201,0,71.42857142857143,55.3277226569152,64.4,64.2,5
汽车机器人,9,2,57.24444444444444,72.8,-1.028231599270726,0,22.22222222222222,21.59926042394596,64.4,21.9,5
资源化工,36,5,40.588888888888896,85.46666666666665,-5.51067520519298,6,13.88888888888889,22.156820478088708,63.5,17.6,6
AI数字经济,13,4,47.20769230769231,71.46666666666665,-4.682590569562461,26,23.076923076923077,61.472330340751405,62.9,40.4,7
地产基建,16,3,49.70625,69.89999999999999,-3.188024996883004,6,31.25,49.67164201539202,61.0,39.5,8
其他主题,8,1,54.474999999999994,68.66666666666667,-1.5768382528149298,0,25.0,31.54577448695096,59.6,27.9,9
高端制造军工,19,4,41.61052631578948,71.93333333333332,-5.030564761462621,6,5.263157894736842,15.086905087231587,58.0,9.7,10
环保公用,3,2,59.76666666666667,59.76666666666667,-2.087950216777686,1,0.0,35.21804536984803,57.5,15.8,11
市场指数,4,0,42.725,46.666666666666664,-5.690986426686056,136,0.0,27.732193442698737,47.0,12.5,12
半导体电子,9,2,28.577777777777776,46.300000000000004,-11.279142016153294,12,0.0,20.218597237048538,39.6,9.1,13
新能源电力,15,2,27.18,41.13333333333333,-7.656806039419095,5,0.0,12.129971351689733,34.4,5.5,14
