行业名称,相对强弱,动量,1日涨幅,3日涨幅,5日涨幅,10日涨幅,上涨占比,涨停数,成交额,成分数,成交额变化,阶段,方向,活跃分,主线家族,题材层级,个体活跃分,家族强度,家族共振度,家族排名,家族内排名,题材地位
医药流通,5.940281690645739,5.099016361720125,0.8650454545454545,2.0684867949910535,0.22112936556153429,5.338395292604847,0.6818181818181818,1,3299156402.0,22,0.38358435897018484,领涨,右下降温,84.0,医药医疗,细分题材,94.1,81.4,35.9,1,1,独立异动
银行Ⅱ,5.347733801168611,6.4157728951891855,2.3105217391304347,1.8718960592097433,2.6596841923830272,4.067875755360095,0.9565217391304348,0,23939601655.0,23,0.41339517547359206,领涨,右上加速,80.8,金融,宽基主线,91.0,75.9,36.1,2,1,独立异动
股份制银行Ⅲ,5.045424426517557,6.505340625953726,1.2530000000000001,1.1547020294288224,1.2092040310253571,3.9618225314577815,1.0,0,9528151213.0,9,0.07057829729179876,领涨,右上加速,79.4,金融,细分题材,89.1,75.9,36.1,2,2,独立异动
油服工程,7.240592436842408,7.91955551724115,-0.892625,2.2907274651221776,3.74190721575296,6.502826673911644,0.375,0,2623217100.0,8,0.3449363673887229,领涨,右上加速,77.7,地产基建,细分题材,91.4,73.6,6.3,4,1,独立异动
医药商业,4.5209450947006085,4.517630922925725,0.7245000000000001,0.4138890560395181,-1.5928408995815158,3.7374161285752105,0.75,0,987107146.0,8,0.11353158566552057,领涨,右下降温,77.7,医药医疗,细分题材,85.4,81.4,35.9,1,2,独立异动
电信运营商,5.7176663952044935,7.2965979310639675,0.9506666666666668,2.2877915828201756,2.8743362109214132,5.613232128373902,0.6666666666666666,0,2366820166.0,3,0.13942876291264894,领涨,右上加速,77.6,AI数字经济,微型题材,90.8,73.8,8.9,3,1,独立异动
辅料,17.014739096836482,4.342971447860915,-1.1165000000000003,-3.711643960290434,3.5106357444409486,4.340084077065742,0.5,0,1717470659.0,4,0.5127612677951434,领涨,左下退潮,76.8,大消费,微型题材,90.1,71.5,11.0,6,1,独立异动
农商行Ⅲ,4.782837477795154,6.069783326286732,2.2346999999999997,1.1477570960581662,0.6683345152673992,3.787086128007955,1.0,0,2118225823.0,10,0.4117980637264178,领涨,右上加速,76.3,其他主题,细分题材,89.7,65.7,18.9,8,1,独立异动
医药生物,6.573678927474728,1.4228890668301124,0.5365892857142858,2.9009380997488954,-1.9154491559183473,5.004139670317453,0.5446428571428571,11,76619941851.0,224,0.1169521355725891,领涨,右下降温,76.0,医药医疗,宽基主线,83.0,81.4,35.9,1,3,独立异动
教育出版,5.102009698357761,5.41649432109904,-0.09259999999999995,0.9691165367467169,-0.45765801938654205,3.0178257175448753,0.6,0,748195726.0,10,0.1577072000553419,领涨,右上加速,75.5,大消费,细分题材,88.2,71.5,11.0,6,2,独立异动
航运港口,4.28879374402571,5.086767838141152,0.4009375,0.661048242017892,-0.8600774735021521,2.7235474179126307,0.6875,0,1959288018.0,16,0.08560968410598435,领涨,右下降温,74.7,交通物流,细分题材,85.8,70.1,22.8,7,1,独立异动
油气开采Ⅱ,4.383478054742485,10.607830101478271,2.8142000000000005,2.3513940679403156,2.981669700524381,8.51231029530255,0.8,0,3407617608.0,5,0.2098798207474668,领涨,右下降温,74.5,资源化工,微型题材,90.4,59.6,6.7,9,1,独立异动
粮食种植,4.042457416168059,8.511521905897059,0.5525000000000001,1.4840294207749904,2.164006364302029,6.355569600986666,0.5,0,383268759.0,2,-0.04069035574588409,领涨,右上加速,74.5,农业养殖,微型题材,85.8,72.6,16.7,5,1,独立异动
横向通用软件,2.3055199753114763,6.888019176662219,-3.616657142857143,-0.8877015604540572,-0.14007217038313202,4.603422923367173,0.14285714285714285,1,15501724729.0,35,0.20152116277722243,领涨,右上加速,73.5,AI数字经济,细分题材,85.2,73.8,8.9,3,2,独立异动
诊断服务,4.985195725280067,1.1336119043937758,0.8311999999999999,6.680656103527127,1.6914444563166375,5.561941913397761,0.6,0,2081892585.0,5,0.5337526435665274,领涨,右上加速,73.0,医药医疗,微型题材,78.8,81.4,35.9,1,5,独立异动
医疗服务,7.554516224120754,0.5760215430827502,-1.4426590909090908,4.862506951466439,-1.377213677430389,2.3651061199318812,0.18181818181818182,1,28799493287.0,44,0.01775354121338424,领涨,右上加速,73.0,医药医疗,细分题材,76.0,81.4,35.9,1,6,轮动跟随
血液制品,2.848483815706926,5.082518596468607,0.18966666666666665,1.8523255323146692,-2.7549643056288042,2.8586859728295,0.5,0,797388440.0,6,0.023264007322781666,领涨,右下降温,73.0,医药医疗,细分题材,78.8,81.4,35.9,1,4,独立异动
彩电,5.150530091638031,3.2410817002110797,-0.5049999999999996,-0.7599859103687434,-1.5948898279289803,1.0651248235905353,0.5,0,4274012685.0,4,0.5002817044163352,领涨,右上加速,72.7,大消费,微型题材,84.3,71.5,11.0,6,3,独立异动
油气及炼化工程,4.630505314220779,2.537751440479384,-0.5433333333333331,2.2495231157628526,0.6363424921023597,-0.26225293370154557,0.5,0,3370881758.0,6,0.8816856056800466,领涨,右上加速,71.1,地产基建,细分题材,82.2,73.6,6.3,4,2,独立异动
粮油加工,4.212473222477457,3.941414550120509,-0.30657142857142855,0.14924375063183337,-1.6643006433411545,2.7794870196897525,0.2857142857142857,0,477861627.0,7,0.1434873889730044,领涨,右下降温,70.7,大消费,细分题材,81.6,71.5,11.0,6,4,独立异动
信托,2.2340585413326584,2.626681310767651,-0.9666666666666667,-0.3851649869563101,-2.1461292937337006,-0.6607346871913333,0.3333333333333333,0,397459615.0,3,0.06810845926275344,领涨,右上加速,70.7,金融,微型题材,74.2,75.9,36.1,2,3,轮动跟随
肉制品,5.500953605676647,3.110535865662383,0.20514285714285727,1.913160535682823,-1.3365159826265627,4.5668507515075785,0.42857142857142855,0,1363026614.0,7,-0.03507500808083952,领涨,右下降温,70.6,大消费,细分题材,81.4,71.5,11.0,6,5,独立异动
零食,3.5710718473997694,4.393113027711412,-0.8762727272727274,-1.0429385888163556,-3.2383392080429174,1.6408124347820685,0.36363636363636365,0,1323755031.0,11,0.0464695148355716,领涨,右下降温,69.9,大消费,细分题材,77.7,71.5,11.0,6,8,退潮防守
其他农产品加工,1.7723274879922684,3.2468559826488836,-1.2369166666666667,0.5521535135682987,-2.7064100106741984,2.421738405306506,0.3333333333333333,1,949836022.0,12,-0.08003328811170751,领涨,右下降温,69.8,农业养殖,细分题材,76.5,72.6,16.7,5,2,轮动跟随
商业地产,2.7393437443812503,5.415184595768178,-2.6561,-0.5783704550685109,-2.269261254025534,0.018546993145629465,0.3,0,1366391097.0,10,0.10115244995414896,领涨,右上加速,69.7,地产基建,细分题材,80.3,73.6,6.3,4,3,独立异动
公用事业,1.9645060400920993,3.1675211984171,-0.08796774193548382,0.8023471873673138,-2.379758816681854,2.0603098835082934,0.5161290322580645,2,6830897451.0,31,0.2818471574923438,领涨,右下降温,69.4,环保公用,宽基主线,82.5,59.1,13.3,10,1,独立异动
成品家居,4.516186361901149,2.6338170227269244,-2.411235294117647,-1.822635699962405,-2.5353462297671103,-1.3794046077747257,0.11764705882352941,1,1734682098.0,17,-0.017204528184876056,领涨,右上加速,69.3,大消费,细分题材,76.8,71.5,11.0,6,10,轮动跟随
